epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.83,1.52883,2.90769,1.68105,0.40861,0.17128,0.17252,0.08378,1.69529,2.59991,1.88048,0.0667822,9.99534e-05,9.99534e-05
2,772.996,1.46271,2.35919,1.60073,0.36474,0.17503,0.18813,0.09131,1.66457,2.38067,1.80395,0.0335481,0.000199173,0.000199173
3,1161.43,1.4293,2.24424,1.56898,0.35522,0.23574,0.21879,0.10761,1.60452,2.24936,1.75854,0.000310836,0.000295289,0.000295289
4,1543.76,1.42259,2.03395,1.55444,0.37413,0.21729,0.21831,0.10783,1.61625,2.231,1.75597,0.000289572,0.000289572,0.000289572
5,1925.35,1.40112,1.99487,1.54161,0.37346,0.24663,0.23068,0.11423,1.59194,2.18481,1.75925,0.000281632,0.000281632,0.000281632
6,2306.87,1.38574,1.90783,1.52562,0.37041,0.26115,0.24373,0.12099,1.5889,2.18348,1.74543,0.000271639,0.000271639,0.000271639
7,2688.32,1.36879,1.83627,1.516,0.36523,0.27958,0.25482,0.12616,1.56899,2.08913,1.72748,0.000259752,0.000259752,0.000259752
8,3069.79,1.35186,1.74828,1.49702,0.3561,0.29517,0.26613,0.13225,1.54745,2.0507,1.71103,0.000246157,0.000246157,0.000246157
9,3452.09,1.32948,1.70132,1.48223,0.37378,0.30623,0.27524,0.13956,1.54517,2.05828,1.71158,0.00023107,0.00023107,0.00023107
10,3834.29,1.31833,1.64369,1.4678,0.3896,0.31975,0.2903,0.14779,1.52039,1.99989,1.68814,0.000214728,0.000214728,0.000214728
11,4222.16,1.30273,1.58301,1.45663,0.39597,0.32796,0.29854,0.15327,1.49936,1.9177,1.6855,0.000197389,0.000197389,0.000197389
12,4604.01,1.28497,1.52789,1.44256,0.40519,0.33516,0.31017,0.15745,1.49611,1.91355,1.67236,0.000179326,0.000179326,0.000179326
13,4986.17,1.26522,1.49022,1.4277,0.41955,0.33713,0.3189,0.16608,1.47644,1.84399,1.65581,0.000160824,0.000160824,0.000160824
14,5367.57,1.24743,1.43831,1.41491,0.4373,0.3364,0.32775,0.17254,1.47717,1.85759,1.66858,0.000142176,0.000142176,0.000142176
15,5749.17,1.23009,1.4099,1.39917,0.4454,0.34341,0.33994,0.18062,1.4495,1.80211,1.64872,0.000123674,0.000123674,0.000123674
16,6130.98,1.21358,1.36697,1.38786,0.44973,0.35908,0.3508,0.18786,1.42608,1.74105,1.63026,0.000105611,0.000105611,0.000105611
17,6512.14,1.19966,1.32583,1.37502,0.42897,0.36132,0.34089,0.18341,1.43129,1.77885,1.62663,8.82718e-05,8.82718e-05,8.82718e-05
18,6893.06,1.1797,1.29097,1.36059,0.43057,0.35042,0.34156,0.18369,1.42307,1.79419,1.63045,7.19297e-05,7.19297e-05,7.19297e-05
19,7273.97,1.16354,1.25829,1.35009,0.44193,0.3605,0.35056,0.19142,1.40926,1.77219,1.6167,5.68425e-05,5.68425e-05,5.68425e-05
20,7655.09,1.14769,1.22641,1.33596,0.45976,0.36017,0.36764,0.20183,1.39149,1.7302,1.603,4.32482e-05,4.32482e-05,4.32482e-05
21,8036.46,1.13193,1.19943,1.32653,0.44364,0.37007,0.36464,0.20186,1.38665,1.73264,1.59826,3.1361e-05,3.1361e-05,3.1361e-05
22,8416.73,1.11961,1.17491,1.31702,0.45821,0.367,0.37156,0.20576,1.37918,1.73304,1.59641,2.13685e-05,2.13685e-05,2.13685e-05
23,8797.6,1.10825,1.15795,1.30995,0.46474,0.37193,0.37752,0.20969,1.36671,1.71367,1.58534,1.34282e-05,1.34282e-05,1.34282e-05
24,9179.48,1.10192,1.14616,1.30412,0.45965,0.37285,0.37966,0.21197,1.36196,1.70854,1.58094,7.6654e-06,7.6654e-06,7.6654e-06
25,9560.84,1.09578,1.13658,1.30012,0.46954,0.37859,0.38496,0.2156,1.35856,1.69868,1.5781,4.17097e-06,4.17097e-06,4.17097e-06
